XG20,XG21,XG22,XG44,XG43,XG23,XG24,XG25,XG46,XG45
1.13,1.28,1.081,1.07,0.916,1.068,0.814,1.418,1.022,1.262
1.001,1.371,1.394,1.125,1.164,1.105,0.872,1.213,1.075,1.129
1.042,0.813,0.856,0.928,0.804,0.995,0.963,0.943,0.877,0.948
0.837,0.941,1.454,1.035,0.802,0.848,0.976,0.608,0.929,1.202
1.077,0.863,0.765,0.872,0.76,0.933,0.972,0.755,0.924,0.891
1.107,0.967,0.872,0.705,0.712,1.102,0.853,0.705,0.802,0.996
1.183,0.983,1.357,1.236,1.728,1.167,0.738,1.824,1.229,1.532
1.259,0.861,1.618,1.304,1.655,1.467,1.023,1.631,1.021,1.349
1.072,1.199,1.33,1.1,1.174,1.119,1.007,1.216,1.095,1.086
0.984,1.23,0.941,1.005,1.212,0.997,0.912,1.316,1.242,1.177
1.105,1.283,1.46,0.905,1.181,1.127,0.824,1.186,1.074,1.158
0.717,0.969,1.202,1.383,1.474,0.745,0.804,0.819,1.612,1.395
0.857,1.226,0.995,1.39,1.318,0.906,0.996,1.257,1.218,1.145
1.063,1.24,1.228,0.944,1.136,1.135,0.922,1.139,1.035,0.94
1.049,1.131,1.035,1.045,1.139,1.117,0.959,1.179,1.109,1.167
0.847,1.131,0.811,0.752,0.917,0.806,1.152,0.853,1.012,0.918
1.08,1.436,1.662,1.453,1.974,1.08,0.794,1.669,1.828,0.503
0.859,0.958,1.366,1.438,1.395,0.759,1.091,1.178,1.177,1.352
1.043,1.244,1.064,1.131,1.42,0.747,1.022,1.347,1.185,1.095
1.173,1.271,1.053,1.249,1.043,1.272,0.92,1.172,1.365,1.053
0.836,0.819,0.762,0.751,0.801,0.927,1.228,0.688,0.841,0.938
0.998,1.237,1.014,1.372,1.271,1.078,0.951,1.18,1.068,0.888
1.042,1.309,1.316,1.344,1.42,1.066,1.056,1.452,1.426,1.285
0.957,1.483,1.614,1.425,1.744,0.857,1.001,1.582,1.165,1.299
1.017,1.243,0.973,1.016,1.128,1.034,1.057,1.061,0.966,0.955
0.668,0.99,1.198,0.646,0.888,0.761,0.872,1.186,1.352,1.186
0.832,1.147,1.396,1.762,1.892,0.846,0.78,1.683,1.934,1.372
0.863,0.739,0.683,0.636,0.906,1.074,1.112,0.554,0.735,0.797
0.889,1.076,0.739,0.913,0.803,0.777,0.798,0.687,0.876,0.627
0.913,1.155,1.233,1.363,1.387,1.042,0.938,1.31,1.179,1.547
1.316,0.668,0.992,1.004,1.058,0.93,1.858,0.757,0.674,0.942
0.948,1.033,0.865,1.325,1.207,1.017,1.015,1.048,1.1,1.147
1.042,1.04,1.003,1.052,1.167,0.948,1.031,1.068,1.155,0.972
1.444,0.81,0.91,1.16,1.343,0.88,1.852,0.613,0.67,0.855
1.056,1.195,1.074,0.829,0.89,1.089,0.904,1.017,0.954,0.92
1.093,0.778,0.75,0.946,0.904,1.172,1.284,0.797,0.94,1.167
0.971,1.264,0.921,0.796,0.81,1.16,0.897,0.923,0.826,0.886
1.007,1.608,2.183,0.991,1.571,0.641,0.928,1.808,1.387,1.306
1.043,1.346,0.906,1.182,1.194,1.125,0.93,0.966,1.234,1.033
1.246,1.245,1.111,0.966,1.088,1.162,0.812,0.799,0.951,0.428
0.935,1.444,1.498,1.297,1.482,1.137,0.872,1.236,1.343,1.126
1.042,0.917,0.944,1.221,1.031,1.026,1.092,0.985,0.97,1.067
0.952,0.924,0.813,1.007,0.986,1.068,1.098,0.922,0.944,0.932
0.498,4.713,0.256,1.968,0.503,0.354,1.272,0.974,1.937,0.339
