sample_id,Albany_sampleID,unknown RT 4.081766,unknown RT 4.148561,unknown RT 5.261918,unknown RT 5.349937,unknown RT 5.462593,"1,2-Propanediol, 2TMS derivative RT5.872253","Propanoic acid, 2-(methoxyimino)- RT6.55182",unknown RT 7.034156,unknown RT 7.600111,"2-Hydroxybutyric acid, 2TMS derivative RT7.639387",unknown RT 7.826556,Methylphenol RT8.024749,L-Leucine RT8.057321,"3-Hydroxybutyric acid, 2TMS derivative RT8.103591",C4H9NO2 RT8.262165_2-Aminobutyric acid 2TMS,3-hydroxyisovaleric acid 2TMS RT8.767878,2-Ketoisocaproic acid mo-tms RT8.802217,"L-Valine, 2TMS derivative RT8.840117",unknown RT 9.376246,"L-Serine, 2TMS derivative RT9.393601",unknown RT 9.514184,Phosphoric acid RT9.570223,"Glycerol, 3TMS derivative RT9.590666","L-Isoleucine, 2TMS derivative RT9.853387","L-Proline, 2TMS derivative RT9.926992","Glycine, 3TMS derivative RT10.031162","2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)- RT10.455827",unknown RT 10.88902,"L-Threonine, 3TMS derivative RT10.986218",Sugar RT11.180625,unknown RT 11.284935,unknown RT 11.546791,unknown RT 11.638228,unknown RT 11.786329,"Aspartic acid, 3TMS derivative RT11.991212",unknown RT 12.201671,unknown RT 12.281912,Sugar RT12.311732,Sugar RT12.405521,Salicylic acid,"L-Methionine, 2TMS derivative RT12.546672",L-Pyroglutamic acid RT12.572016,Iminodiacetic acid RT12.666785,unknown RT 12.819965,unknown RT 12.857088,"Creatinine, 3TMS Derivative RT12.941566","L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester RT12.967171",unknown RT 13.237562,unknown RT 13.449509,"L-Glutamic acid, 3TMS derivative RT13.628483","Phenylalanine, 2TMS derivative RT13.727813","Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543",unknown RT 14.104802,unknown RT 14.193323,unknown RT 14.212299,unknown RT 14.46665,Sugar RT14.499155,"Indol-5-ol, 2TMS derivative RT14.572634",unknown RT 14.608491,Sugar RT14.65062,"Quinolinic acid, bis(trimethylsilyl) ester RT14.717184",Sugar RT14.882448,"L-Glutamine, 3TMS derivative RT15.188844","Phosphorylethanolamine, 4TMS derivative RT15.271004",Sugar RT15.498817,"Hypoxanthine, 2TMS RT15.51998 ",unknown RT 15.67915,Sugar RT15.948677,unknown RT 15.972121,unknown RT 16.00869,Sugar RT16.115755,Sugar RT16.206201,Sugar RT16.252331,Sugar RT16.3187,unknown RT 16.414903,unknown RT 16.503116,Sugar RT16.542108,"L-Lysine, N2,N6,N6-tris(trimethylsilyl)-, trimethylsilyl ester RT16.60669",Sugar RT16.657726,unknown RT 16.698449,unknown RT 16.720675,"Tyrosine, 3TMS derivative RT16.755616",unknown RT 16.881142,Sugar RT16.902669,unknown RT 16.995233,Sugar RT17.084061,unknown RT 17.119627,unknown RT 17.204747,Sugar acid RT17.285215,Sugar RT17.51909,"Palmitic Acid, TMS derivative RT17.715581",Sugar RT17.885434,unknown RT 17.919809,unknown RT 17.941004,unknown RT 18.033807,Inositol RT18.082993,"Naproxen, TMS derivative RT18.090047",Uric acid RT18.13225,unknown RT 18.410997,unknown RT 18.478476,unknown RT 18.560954,L-Kynurenine RT18.688449,unknown RT 18.973435,"Tryptophan, 3TMS derivative RT19.033344",unknown RT 19.156262,Sugar RT19.222404,"Stearic acid, TMS derivative RT19.342316",Pseudo uridine penta-tms RT19.994184,Sugar RT22.861927,Cholesterol derivative RT25.501888,Sugar RT28.077994,Xylonic Acid Total,Gluconic Acid,Mevalonic acid,Glyceric Acid,Butyric Acid,"2,3-dihydroxyisovaleric Acid",2-hydroxy-3-methylbutryic acid,Pyruvic and Oxaloacetic Acids,Glucosamine 1P,Galactose 1P,Glycerol 3P,Glucose 1P and Mannose 1P,Succinic Acid Total,Malic Acid,Cyclic AMP,Citraconic and Itaconic Acids,Glucose 6P,Erythrose 4P,Fructose 6P,Mannose 6P,Fumaric Acid,Sedoheptulose 7P,AMP Total,6P Gluconic Acid,3-Deoxy-2-keto-6P-gluconic Acid,2P Glyceric and 3P Glyceric Acids,2-methylcitric Acid,Citric Acid,Isocitric Acid,Cis-Aconitic Acid,Phosphoenolpyruvic Acid,Trans-Aconitic Acid,ADP Total,"Fructose 1,6-bisP",GMP Total,"2,3-diP-glyceric Acid Total",ATP Total,GDP Total,GTP Total
1,C1,21.30989664,21.78330783,22.68709146,25.1799143,21.63092044,22.52598712,21.24071054,22.19426256,17.13950837,22.08946173,26.6455218,20.34880685,19.06591076,21.5576993,21.63236278,18.59146514,18.24120414,25.07764087,20.09749902,20.99053614,20.76879458,27.93986117,20.93123117,22.55497835,20.91185795,24.95053072,13.89898424,13.62340246,20.22639578,17.59534705,15.25989669,16.80389434,18.30694213,21.26348921,20.72605025,18.51586083,19.36661473,16.43384008,19.37356618,11.59607563,20.24564666,23.10299678,20.92176062,15.22646354,20.65154686,17.43389508,17.14176332,20.97839959,19.69577749,18.4365788,22.75783426,13.814925,15.48795826,14.23836697,18.26585337,18.93504488,12.25115118,17.34309723,18.00283704,17.90180554,15.2546959,17.75328704,21.8329655,16.56145981,22.04079099,16.71904934,13.96555426,24.10512636,21.2900866,15.13564175,19.43107662,19.02467448,22.53277208,27.78160054,19.19158772,20.93231341,25.68384932,22.11378212,12.45041994,17.3006196,17.95357656,21.89907124,15.34605614,21.47588337,14.18275623,28.64549064,13.1503708,19.28261131,15.53575908,22.95885939,21.59327356,18.57487168,18.37023173,15.77252738,16.56984874,22.02533405,16.97516597,20.56102892,18.18174101,12.76020957,19.69863681,17.36715429,18.9283035,20.29914646,16.67313768,12.96302198,19.91983303,18.14162936,13.04515964,17.87423997,15.03727559,16.5995061,16.87267488,12.77519873,17.20418902,20.82687119,13.37177664,20.31008019,17.80498807,11.2644426,12.55794229,16.2137118,12.62113611,20.924337,18.94306421,13.24525558,14.22881869,13.72067179,10.54109662,12.8494051,13.41204051,13.81378119,12.59339112,14.88703017,11.33873638,9.753216749,16.15363119,16.0101784,23.48000519,20.14569337,16.10942259,12.68167766,13.37177664,16.63820963,9.603626345,13.666224,15.92925841,15.16741815,14.05324713,10.56985561
2,C2,21.22164694,21.99264666,23.61057019,25.87919744,19.13045423,22.87984732,22.19734152,22.72341271,19.45623179,24.09118839,26.82532844,17.49902762,19.84116909,25.29170267,23.09456071,19.60061103,19.43772541,26.17830932,22.77163464,21.04784485,20.93997936,28.22332338,20.19434483,24.2715393,22.94866053,25.43326121,15.0324,14.37345934,22.36682388,17.63728546,15.59915914,16.45324587,20.42673033,21.17495582,20.46416494,19.66365645,20.22172682,16.51592297,19.44093499,13.58128183,20.86501415,23.06153548,20.91454906,12.96768637,21.32547748,18.08714636,17.98777585,21.40325731,20.77344163,22.13681267,22.86354962,14.38382051,15.0207356,15.15882993,18.42641857,19.21022832,13.1056189,15.84631354,18.08963423,18.21856138,14.21417229,13.70209134,23.38832587,18.20970984,22.14378564,18.56079418,15.34566299,24.82634508,22.54859296,13.39216152,22.27147725,21.95084868,23.07405067,28.70464128,20.24374335,21.9834904,27.02851733,23.11149511,14.77852278,16.64553527,13.03448055,23.1936683,17.08927712,23.08926979,14.37760764,29.5036256,17.38408086,20.44144297,15.33851339,25.09148157,21.47392197,19.34303044,18.84653352,15.84874727,16.45666452,23.40504408,13.66660251,21.46157299,18.51209784,16.87985364,20.10326784,16.85560334,19.18060131,20.53442665,15.60094175,18.48323217,19.50106623,18.2524986,17.83348265,16.45143434,17.25530093,16.94306421,17.1155314,13.9199806,17.82376528,22.48000519,11.61194694,21.13946142,18.76668418,12.73978061,13.24228095,16.43501908,13.56271943,20.89504269,19.7240075,13.5980525,14.58049413,15.19460298,11.53138146,13.86302471,13.50183718,14.61539974,14.63820963,17.48148412,13.43827206,10.5980525,18.17035543,15.28048081,24.42981944,21.14569337,17.10533564,14.183015,13.88226093,18.99092385,10.9068906,15.7679775,17.05324713,17.5951409,17.06381637,13.86302471
3,C3,21.90552708,21.80405037,23.09246814,25.88733027,12.57063123,21.79205644,21.51734671,21.51040684,18.02442607,21.3042935,26.46751181,15.84269737,19.65492812,22.838288,21.76933188,18.42028384,18.66669527,25.57249674,20.58569402,21.98349272,21.03319202,27.42978309,21.80081275,23.62356099,24.48747005,26.38034807,15.60159569,14.06712748,22.63070766,17.98957594,15.83679098,17.48005928,18.52627434,20.44521897,18.64239355,20.04462406,14.70865844,17.84985971,20.29928322,18.15623389,21.18277483,24.40023814,21.13620997,16.19783152,16.62985533,17.67938282,17.31480921,20.44202374,16.16497938,22.29433157,23.36375321,14.1117187,15.39617118,15.56908184,14.23864207,19.74210613,18.12500964,14.50844654,14.75842388,19.44305701,15.89570716,20.4714212,23.76897015,12.75557136,18.76499277,16.90798692,13.67771465,23.49589852,23.1447497,15.76404023,23.02170809,22.50910509,23.26262999,24.80055629,20.53187386,22.32521942,27.00154205,23.2778919,20.83602534,19.17174473,16.98694791,22.29153184,16.98627701,23.11755099,15.12456933,25.79196774,15.43022901,19.86294345,17.14087193,24.49595588,21.71537991,13.11473464,14.16811951,15.06225282,14.94125387,23.6898149,18.31286245,22.51998434,18.19066636,17.91251621,19.91663967,17.6775689,17.82815907,20.54122333,16.82734889,14.07504585,19.88181009,18.98213997,15.20057695,16.62938591,15.84144604,17.55824132,18.17035543,12.82972274,16.96578428,20.55449892,12.04644195,19.42726373,17.666224,11.67065625,12.70994538,16.84842733,12.22580994,20.747144,19.836149,13.38532318,14.86302471,13.35810171,6.191707162,12.74399286,11.72706956,14.80876312,11.77725532,15.25488099,11.36632221,8.370687407,16.0145436,15.69370474,23.68645607,20.66275181,16.52649924,12.64385619,14.27321281,16.99920729,7.483815777,15.22881869,14.51422091,15.70455212,14.2511865,11.55074679
4,C4,21.39800903,22.04982596,23.32433827,25.60868479,18.22568894,22.74383663,22.66994246,22.5827974,17.97219371,21.53620343,26.34706424,19.859194,19.21533121,19.28074443,21.4479747,18.096963,17.99370324,25.6260712,21.57974207,21.17361272,21.21555571,27.96722995,21.00398791,23.24700264,21.7951836,25.5602737,17.05079524,13.89377452,22.39722833,17.01523698,16.06080036,16.03764819,18.5722843,21.27009927,20.68715712,19.09389164,18.86973813,16.95449349,19.30346446,13.83473616,20.82809137,23.43034762,21.04301882,12.28853546,20.04454452,17.69103605,18.35568809,20.69599931,18.90401704,21.75808015,22.73021492,13.94505993,14.57741192,14.46500664,17.56208023,19.2346519,14.21015978,16.8594821,17.92691687,18.2903364,14.09302273,17.18241545,23.22880301,17.32983582,21.44616655,18.12337717,13.97477507,23.73188468,22.57822127,15.12369989,22.62957369,22.15980949,22.26279149,28.29204569,19.30126609,21.09631704,26.70055227,23.35146884,16.30687052,16.97873778,18.98363788,22.97615191,16.73109456,22.38778049,14.4126462,29.13515894,19.66537119,19.97649602,15.98657435,24.293705,21.10421135,18.40117146,17.99566385,16.03241989,16.42360331,23.06264723,13.0338601,22.41853679,18.28209701,12.3387195,20.12306363,15.35551586,19.17668109,20.64189142,15.45348395,12.22469002,19.38933976,17.8311134,16.59010758,15.0126,16.24602331,16.50339098,16.52802671,12.63026713,16.97701154,22.13320243,10.79766153,19.07952645,18.18495281,10.28771238,12.00842862,15.71531855,12.07347215,20.23022688,18.8392284,12.59339112,14.08679969,13.666224,9.668884984,12.60733031,12.97477307,13.69913863,12.29347165,15.94991788,12.08347933,5.686500527,16.7986743,15.48620653,24.01051991,20.64526438,16.88464752,13.72067179,13.39874369,17.96578428,8.351662684,14.26590801,16.55524818,15.85574448,15.15165083,11.84156435
5,C5,20.81007772,21.72243094,22.86738467,24.82583683,18.02841111,23.30437328,21.52969824,22.81374802,17.35768508,23.17753492,26.39323905,17.80187637,19.48979628,26.10771311,20.78101986,17.39875297,18.38224678,25.44313836,20.93087748,20.78807001,20.54143291,28.01313913,21.43711506,22.76015417,20.28998364,22.79679968,12.12716767,11.24778452,19.83796845,17.79433666,15.39577251,14.68744491,18.84368145,20.97788523,19.29786016,16.53565545,20.08432923,16.20822267,19.41740648,13.18986822,17.65847139,22.6825411,20.77927209,12.05506426,20.57819039,15.94645905,17.66277434,19.88282395,19.74059388,19.5900956,22.26039715,13.16315973,15.17621954,14.56470459,17.40949958,17.94625307,11.62813874,15.83030708,16.48479014,17.60497973,13.3928652,16.62415398,18.99451278,12.57474383,24.18582979,17.97006193,14.09369515,12.46313149,18.7329538,17.00143036,20.61441909,20.2022549,24.54616578,30.71229769,19.78119093,21.40689681,28.27819887,19.5804585,12.19513514,15.53170296,13.05534168,20.96746765,15.73968552,24.39468401,16.00560442,31.34492703,14.17443163,21.7498369,17.55201856,26.33815058,21.49186873,20.52782509,17.04567144,15.97679074,16.93908874,23.27198849,12.88276971,22.40993284,18.45002607,18.13816432,20.08138734,15.75564737,19.29811808,20.20734259,16.80826594,12.18512885,19.61368852,12.58461411,8.921504247,16.91778411,16.17763318,16.93156857,17.9199806,13.04984855,17.24190869,21.82687119,11.2227949,20.25349666,18.2511865,11.92184094,12.6794801,16.544723,12.98370619,20.64526438,19.49911402,13.53867395,14.91531922,14.95219522,6.998093042,14.41864325,14.64948074,14.31628153,14.00140819,17.23257083,12.22881869,8.957102042,17.24190869,14.72600523,24.10948636,20.85756799,16.56122827,13.20457114,13.69913863,18.52802671,10.51175265,15.70455212,16.666224,16.78596325,15.6909801,13.10164745
6,C6,21.53009166,22.77697763,23.10155115,26.1010434,20.65276919,22.23527371,22.28562604,21.71571372,18.08654215,21.31002878,26.46429568,20.37647459,19.50788859,21.07179293,21.55541004,17.87955139,17.46004518,25.24150264,21.35381603,21.69312475,20.75137476,28.73360253,21.38938817,23.05139005,22.34565805,25.24523988,18.39902849,14.46125479,22.439984,18.61510338,18.21397905,17.21541032,18.20033784,21.1234671,20.5800922,19.36353243,18.97156993,18.27619589,20.78807078,12.93702238,20.4909047,23.50228458,21.25121314,14.48403021,19.94366863,17.69145638,18.66251843,21.21117326,19.01854712,19.12301963,22.07548381,14.92544029,16.43523584,14.81967112,17.76703606,19.17569658,17.03333259,17.58259493,18.76196982,19.77889498,16.23077304,17.13827476,22.37064272,17.22342555,23.14745356,18.21847513,14.21957136,22.54869774,22.48648033,12.71220518,20.25764052,19.87838067,23.03941494,29.63164181,19.87753207,21.58065637,26.92796491,23.09772984,19.51078142,17.15350005,13.1037224,22.48837201,16.36869847,22.8988069,16.60778439,30.44653327,12.20387734,20.39922229,18.18147559,24.06436673,21.25212722,19.01002136,18.36437438,14.50897245,15.31224979,23.96784445,12.7330128,23.98517436,18.70866721,18.31534714,20.41002704,16.38863329,17.88773506,20.06068424,18.59984869,19.40168512,19.45475746,19.54386161,12.48842289,16.42733152,16.25789065,18.19940396,18.92868029,13.77313921,17.76020015,21.83845916,12.85720347,19.4169954,18.84842733,12.81378119,13.73131903,17.26956503,13.88226093,21.08212825,19.58600411,14.12767197,15.87747587,15.0950673,10.74819285,13.98370619,14.83368075,14.44475609,13.57459353,16.69370474,12.65955,9.330916878,17.37517522,16.58049413,24.54627841,21.12691617,17.02106672,13.74188827,14.47040468,18.21844972,9.047123912,15.04473563,16.747144,16.50649355,15.41204051,12.40141288
7,C7,20.75699721,21.59327417,23.08059305,24.97817965,18.02978003,22.98363642,23.25682124,22.51509289,16.88804169,21.38310876,26.54980109,13.95514677,18.84620361,20.75824307,20.92286125,16.20550835,18.60828194,24.63880226,20.56484096,20.9702223,20.91759202,28.08340377,22.92625163,22.04579903,21.87488387,25.42176974,15.84752182,12.8213579,20.9275658,17.76675179,14.66156676,15.72704729,18.71727119,21.33104465,21.59421103,18.62208639,18.7928275,17.55133431,19.45849768,12.38799045,20.10922826,23.81231517,21.09838439,12.5140079,19.86255855,16.99135022,17.47588724,21.51564037,19.11995177,22.03333739,22.58362008,12.8287,13.01273825,14.71809206,17.79584339,19.59958436,11.76063564,16.06400405,18.01430509,18.24543837,13.97552065,17.12814344,23.1667851,17.72530117,21.61352273,17.15939014,12.43193042,23.93252576,22.46703638,13.83448018,20.27603949,19.73793677,22.49691893,27.94343556,19.52039581,21.3480403,26.30113489,22.37903327,18.29967105,15.87010703,12.02383286,22.09216653,15.70375059,22.54749423,13.84369309,28.75618761,12.49159101,19.60006072,12.43047298,23.93035011,21.91959052,12.6828417,18.19275797,15.65642176,16.3779031,22.45620453,12.64185816,20.9900845,18.1706437,18.07561748,19.68433421,15.17047919,19.01636578,20.70558505,15.812569,17.87159704,19.87704223,17.82816589,16.93036301,17.22843934,16.72192701,16.31981322,16.05536718,12.87843415,17.3321065,22.40665345,11.23481743,19.20895827,19.24887264,11.38262403,13.06002035,16.14966774,13.2227949,20.88016942,20.04259988,13.43827206,13.80372753,14.24376903,9.787902559,12.64835758,13.57459353,14.2137118,13.25709314,16.51576143,12.03617361,10.31061278,16.666224,14.34429591,23.75938759,19.94592386,15.98147809,12.8494051,13.4252159,18.27866724,12.38532318,14.9199806,15.45763738,16.44798721,15.59222342,12.13570929
8,C8,20.77794993,21.57629409,23.8098866,27.54925594,19.7203502,22.80384987,21.87826633,21.6323977,19.58944294,22.16500203,26.03088749,22.46031698,19.5731625,20.63950847,21.30453872,19.47533025,16.54426355,25.0035786,20.37286945,20.89256666,20.95054262,29.2485463,22.58551544,22.46105642,20.99529846,24.47718371,18.81571606,13.03111099,20.40390295,19.75585369,17.93265981,18.44517319,18.79696787,20.98246297,22.01147367,18.62827535,21.26433919,19.29660466,21.87722944,20.46002738,20.37112521,23.48496276,20.56879061,15.37874817,21.84447087,21.42720955,20.06997734,22.71110839,21.20211351,20.40840158,22.40768968,17.86476082,17.68183348,15.04712562,18.79012124,18.53753739,22.37418077,20.63917981,18.95560955,22.16250871,18.23626913,12.84183352,20.96196679,17.12149719,23.80121468,18.01486152,13.67978349,19.80936035,20.63783591,17.77487806,20.00510318,19.62758692,23.09725664,30.20813714,19.46966333,21.16523432,26.88886799,21.82143962,22.40773804,21.01406553,13.28251444,22.27892662,15.41050684,22.9680505,18.36462327,31.02818959,19.36945912,20.95223779,19.29282798,24.87479113,21.17136051,20.91158678,20.34483122,15.37160171,15.90751961,24.88268852,13.61502935,22.79154412,17.8960389,18.30179883,19.30302131,16.89827579,18.10680241,19.29167065,17.09132187,19.73265726,19.28653125,20.89931041,20.91744409,16.213612,17.48779172,17.90829879,18.26956503,13.0768156,16.47990654,21.22435032,10.70563239,17.39204904,17.32333629,11.84156435,11.0768156,15.32685077,11.76901132,19.49911402,17.99369028,12.97477307,12.92369888,13.74188827,10.43045255,12.73131903,13.28771238,12.73978061,12.50432245,15.99920729,11.76901132,6.630813152,15.59222342,16.4560335,22.28771238,19.37729527,15.46083981,11.86495992,13.52649924,16.81127434,8.430452552,13.82376528,13.4767462,14.64385619,14.13570929,10.64385619
9,C9,18.92784566,20.98838206,22.7229956,26.22440754,12.66037315,21.89257987,22.7268575,21.47155319,18.54221635,21.88493462,26.76500934,18.68774025,18.49582764,19.26698868,21.55011483,18.07726691,16.10864886,24.22208624,19.84988285,20.44494991,20.90148871,26.37573717,21.84069894,21.93667122,21.66504319,24.48237993,11.96640777,14.41840843,17.32183701,17.76456537,16.43191953,17.16870817,18.24935799,21.00692071,20.52408993,18.48941733,18.86088598,16.72405538,20.03657288,20.59659315,19.41237077,23.18364906,20.73672538,12.83530873,19.49818894,17.87259273,18.03329315,21.16015727,18.84392603,19.44977907,23.05588684,16.97899896,15.03770794,14.98893152,17.07477551,19.03799222,17.53362944,17.69791928,16.81983096,18.56626333,15.74910028,18.40489566,21.07533558,16.43410115,22.68906164,17.45036864,13.81713016,23.50517806,20.91086326,14.8196,19.34848306,18.97346853,24.0408013,28.628697,20.07575088,21.76817757,26.98899299,22.32078545,18.17714716,18.35363098,12.97948783,23.11245155,16.01145153,23.00783838,15.69707585,29.46502209,12.51926229,20.27575721,17.3975951,24.70410702,21.06121757,18.50894138,18.10722502,14.53988966,15.41883064,22.17685855,19.07708067,22.41026481,17.93204783,17.72601676,19.43174901,17.52081859,17.83304174,20.12167347,16.66107122,12.96614077,19.51906741,18.63376482,18.83136063,17.94174105,16.69536288,16.87267488,17.78596325,12.35810171,17.49716575,21.75938759,10.67065625,20.38574446,18.79550702,11.54109662,11.39874369,15.47990654,11.92184094,20.49716575,18.64877887,12.91251514,13.72067179,13.79360331,7.26065703,12.84549005,12.57931594,13.50183718,12.85720347,16.81127434,11.71853288,8.661778098,16.37687151,15.64948074,22.88390214,19.84230123,15.31628153,12.48179943,12.87843415,17.34948858,9.552669098,15.2511865,13.63254088,15.62113611,14.7679775,12.01889562
10,C10,20.62590615,21.87315883,23.56442658,27.68802525,16.61007487,22.63460141,22.32935944,21.88697732,19.70379538,20.81978274,25.88662726,21.61955867,19.36759357,20.84445738,20.14685292,20.31620045,16.65553872,25.49746345,20.90823236,20.47848418,20.65498274,28.89674372,23.25793048,23.08894035,21.62769531,24.73402957,17.8510516,15.54749976,21.07797162,20.09033148,17.46585138,15.93522239,18.54988734,21.04993968,21.64686307,19.3229179,20.81944421,20.02247501,22.29382933,13.5058793,20.88435278,23.90503831,20.71460478,16.66472999,21.57560946,21.19077337,21.22656769,22.96396375,20.86421216,22.63227728,23.19546646,22.66165228,18.86393194,14.77655615,18.51246447,17.94504791,21.84494313,21.90214694,18.94032549,21.38672084,18.02898589,21.03849617,23.07449383,16.99942648,23.91563328,18.62472279,13.90432735,22.95184259,21.57661851,18.75401103,21.18951019,20.68496189,22.83606239,30.27164781,19.05830135,20.55446132,26.63295473,22.83474747,24.18196564,21.89936767,20.00226568,22.62941918,14.65910642,22.09148751,19.05469577,31.0427911,17.74288651,20.72332904,21.67972246,24.7683517,21.02743521,21.09936277,20.2544457,15.61985647,15.81537196,25.70390652,13.30919631,23.55679106,17.67165921,18.51419411,19.19919066,17.07541089,18.23771129,18.32985039,15.51523735,20.65919388,18.21891248,21.61746058,19.17027755,15.2042,17.1665284,20.10789134,21.18857919,14.48934624,18.2831969,22.41183369,13.277578,18.86060205,18.19460298,13.05833003,12.63481105,16.24376903,13.30206767,20.53563989,18.79550702,13.55074679,14.17523765,15.35466262,7.809649525,14.28048081,14.30206767,13.38532318,13.83368075,16.47040468,14.19844504,5.240314329,17.44151772,17.93732784,23.57542476,20.19460298,16.69370474,13.666224,14.90124403,18.48148412,8.915879379,14.73661333,14.70994538,16.87267488,15.75759836,13.15006458
