XG1,XG2,XG3,XG27,XG26,XG4,XG5,XG6,XG29,XG31,XG7,XG8,XG9,XG34,XG33,XG35,XG10,XG11,XG13,XG37,XG36,XG14,XG15,XG16,XG39,XG38,XG17,XG18,XG19,XG42,XG40
1.535,1.444,1.245,0.819,1.136,1.502,1.163,0.514,0.779,1.737,1.206,1.255,1.066,1.044,1.305,1.657,1.062,0.709,1.231,1.323,1.624,0.756,1.069,0.863,1.17,0.981,1.145,0.972,1.261,0.791,1.029
1.243,1.067,1.166,1.056,1.079,1.068,0.943,0.728,0.957,1.202,1.016,1.014,0.824,1.1,0.986,1.114,1.056,1.073,0.993,1.21,1.289,0.85,0.904,1.064,1.104,1.111,1.118,1.084,0.998,1.007,1.159
0.904,1.03,0.94,0.933,0.925,1.047,1.057,0.954,0.917,0.886,0.995,1.117,1.041,0.786,0.706,0.947,1.049,1.055,1.029,0.831,0.717,1.034,1.049,1.041,0.795,0.776,1.078,1.023,0.907,0.938,0.903
0.742,0.897,0.799,0.928,0.746,0.963,0.774,1.001,1.101,0.975,0.781,0.908,1.235,0.817,0.728,0.861,1.085,0.877,1.016,0.798,0.751,1.039,0.834,1.122,0.917,0.809,0.667,1.325,1.034,0.78,1.195
1.687,1.457,0.805,0.649,0.618,0.923,1.287,0.864,0.913,0.716,1.502,1.21,0.898,0.566,0.854,1.109,0.693,1.065,1.8,0.63,0.85,0.959,0.918,0.667,0.661,0.848,1.119,0.97,0.536,0.829,0.76
0.923,0.828,2.302,1.101,1.422,1.131,0.932,0.546,1.215,1.263,1.091,1.078,1.114,1.337,1.039,1.242,1.318,0.724,1.011,0.707,0.91,0.903,0.467,1.216,1.037,0.936,1.138,0.339,1.044,1.046,1.196
1.28,0.874,1.867,0.997,1.52,1.156,0.751,0.738,2.153,1.513,1.025,1.016,1.018,1.291,0.878,1.419,1.025,0.933,0.986,0.894,1.045,0.871,0.734,1.244,1.088,1.069,1.192,0.717,0.969,1.185,1.207
0.945,0.901,0.838,0.867,0.76,0.87,0.821,1.211,1.031,0.909,0.998,1.039,0.951,0.703,0.675,0.833,0.957,1.163,0.899,0.791,0.707,1.051,1.043,0.982,0.625,0.874,0.887,1.164,0.981,0.975,1.014
1.08,1.018,1.219,1.016,1.1,0.697,0.846,0.882,1.106,1.15,0.848,1.015,0.936,1.087,1.015,0.953,1.048,0.941,0.888,1.172,1.248,1.022,0.972,0.959,1.284,1.205,0.94,0.983,1.108,1.032,1.045
1.096,1.198,1.032,1.057,0.951,1.039,1.038,0.827,0.988,1.103,1.083,1.021,0.858,1.018,0.938,0.959,1.142,0.947,1,0.999,1.147,0.658,0.927,1.037,1.191,1.068,1.173,1.04,0.946,0.98,0.998
1.2,1.168,1.338,0.898,1.06,0.895,1.007,0.554,0.887,1.368,1.205,0.974,0.787,1.098,1.193,1.086,0.985,0.708,1.034,1.174,1.412,0.968,0.986,0.927,1.36,1.354,1.163,0.951,1.032,0.874,0.872
0.911,0.909,0.849,1.017,1.237,0.638,0.863,0.688,1.041,0.899,0.709,0.663,1.265,1.009,1.119,1.122,0.56,0.772,1.189,0.941,1.24,0.684,1.072,1.268,1.291,1.411,0.539,1.017,1.387,1.357,1.192
1.171,1.048,1.001,0.993,0.997,1.015,1.023,0.79,0.993,0.979,1.082,0.968,0.786,1.023,1.175,0.954,1.027,0.948,1.123,1.027,1.219,1.141,0.969,0.892,1.162,1.065,1.144,0.952,1.014,1.042,0.994
0.792,0.924,1.215,1.194,1.195,0.97,0.973,0.731,0.757,1.13,0.942,0.943,1.015,1.078,1.046,1.102,1.029,0.817,0.929,1.287,1.116,0.925,0.978,1.114,1.595,1.172,0.951,1.018,1.306,1.103,1.138
1.143,1.091,1.067,1.098,1.173,1.078,0.994,0.883,1.047,0.89,1.122,0.996,0.876,1.072,1.113,1.066,1.098,1.003,1.076,1.178,1.227,1.24,0.941,0.986,1.078,1.211,1.157,0.954,1.07,1.056,1.006
1.121,1.238,1.1,1.196,1.021,1.056,1.002,0.931,1.028,1.073,1.046,1.182,0.974,1.143,0.999,0.981,1.179,0.87,1.134,1.027,0.81,1.022,1.127,1.042,1.349,0.926,1.106,1.106,0.849,1.173,1.11
1.026,0.846,1.432,1.601,0.85,0.831,0.736,0.33,1.427,1.35,0.908,0.444,1,1.562,1.646,1.238,1.393,0.72,0.78,2.538,2.41,0.852,1.023,0.975,1.854,2.164,1.057,1.263,1.158,1.455,1.524
0.888,0.978,1.195,1.219,1.165,0.933,0.735,0.831,1.187,1.014,1.025,0.875,0.955,1.058,1.068,1.002,1.098,0.843,0.855,1.266,1.385,0.804,0.976,1.04,1.488,1.037,0.955,1.028,1.114,1.074,0.884
0.706,0.756,0.702,0.858,0.813,0.838,1.074,1.193,1.188,0.861,0.935,0.917,1.118,0.831,0.75,0.719,0.792,0.951,0.994,0.675,0.613,1.049,0.971,0.837,0.845,1.111,0.917,0.977,0.966,0.997,0.781
0.845,0.875,1.086,1.088,1.231,0.885,0.811,0.976,0.704,0.939,0.836,0.658,0.946,1.001,0.65,0.944,0.835,0.786,0.698,1.097,1.133,1.248,0.713,1.071,0.958,1.182,0.806,1.038,1.37,1.118,1.245
1.143,1.11,1.038,1.089,1.068,1.322,0.98,1.274,1.226,1.322,1.355,1.406,1.156,1.356,1.033,1.222,0.969,0.894,1.108,1.067,1.172,1.063,1.16,1.125,0.794,1.166,1.149,1.029,0.929,1.142,1.082
0.827,0.836,1.438,1.376,1.365,0.752,1.011,0.951,1.474,1.455,0.811,0.79,0.848,0.995,1.142,1.464,1.242,1.097,0.75,1.41,1.228,0.604,1.274,0.946,1.476,1.084,0.913,1.051,1.223,1.4,0.955
1.095,0.959,0.756,0.971,1.062,0.889,0.941,0.982,0.862,0.981,1.274,0.781,1.056,1.349,1.812,1.373,0.903,1.119,0.875,0.868,1.142,1.066,0.746,1.017,1.039,0.918,0.818,0.989,1.034,1.076,1.06
0.871,0.822,1.358,1.264,1.346,0.882,0.827,0.859,1.551,1.203,0.982,0.849,0.975,1.388,1.23,1.174,1.201,0.983,0.733,1.474,1.227,0.906,1.208,1.196,1.266,1.52,1.074,0.968,1.112,1.256,0.99
1.011,0.936,1.011,0.921,0.875,1.037,0.945,0.929,0.955,0.992,0.97,1.048,0.884,0.946,0.904,0.808,0.979,0.865,0.998,0.853,0.981,1.123,0.896,0.895,1.035,1.04,1.114,0.89,0.888,0.993,0.972
1.103,1.163,0.984,0.837,0.823,0.927,0.995,0.836,0.931,0.9,1.123,0.977,0.731,1.004,0.935,0.844,0.864,0.959,1.022,0.972,0.937,1.096,0.982,0.801,0.779,0.97,1.072,0.999,0.792,0.991,0.876
0.955,0.988,0.96,1.003,0.956,1.073,0.996,0.885,0.889,0.991,0.908,1.028,1.18,0.536,0.855,0.916,0.983,0.945,1.135,1.019,0.861,0.97,1.255,0.939,0.624,1.07,0.932,1.047,1.026,0.778,0.824
0.721,0.715,0.714,0.434,1.055,1.115,0.747,0.729,0.406,0.628,0.557,0.84,0.822,0.667,0.695,0.624,0.774,1.485,0.623,0.433,0.854,0.939,0.849,0.63,0.931,1.021,0.779,0.777,0.538,0.717,0.696
0.943,1.012,1.005,1.155,1.155,1.133,1.017,0.782,1.17,1.088,1.033,1.096,1.193,1.289,1.129,1,1.164,1.102,1.087,1.06,1.015,1.025,1.032,1.07,1.186,1.165,1.06,1.027,0.93,0.983,1.029
0.772,0.764,1.378,1.625,0.942,0.724,0.771,0.761,1.473,1.017,0.812,0.848,0.868,1.92,1.904,1.212,1.266,0.754,0.862,1.832,1.759,0.816,1.183,1.116,1.672,1.923,0.872,0.861,1.411,1.428,1.131
0.996,1.012,0.901,1.205,1.313,0.997,0.933,0.8,0.955,1.19,1.104,1.134,1.063,1.2,1.331,1.012,1.037,1.025,1.062,1.272,1.1,1.076,0.978,1.156,1.424,1.455,0.969,0.815,1.258,1.192,1.413
